i,claim,scores,average,std_dev,skipped
0,A circle has 360 degrees.,"[4, 3, 4, 5, 4]",4.0,0.4,0
1,A triangle has three sides.,"[4, 5, 5, 5, 4]",4.6,0.24,0
2,All police officers should be required to wear body cameras,"[4, 4, 4, 4, 4]",4.0,0.0,0
3,Anti-aging therapies should be made available even if expensive,"[4, 3, 4, 4, 4]",3.8,0.16,0
4,Apples are a type of fruit.,"[4, 5, 4, 4, 4]",4.2,0.16,0
5,Banning gas car sales too soon is unrealistic,"[3, 2, 2, 3, 4]",2.8,0.56,0
6,Basing decisions on credit scores and models is discriminatory.,"[4, 4, 4, 3, 2]",3.4,0.64,0
7,"By definition, one liter in the metric system equals 1,000 milliliters.","[3, 3, 3, 3, 3]",3.0,0.0,0
8,"By its very definition in the metric system, one meter consists of 100 centimeters.","[3, 3, 3, 3, 4]",3.2,0.16,0
9,Charter schools divert public funds away from traditional public schools.,"[2, 2, 2, 2, 2]",2.0,0.0,0
10,Charter schools increase options and drive education innovation.,"[4, 4, 4, 4, 5]",4.2,0.16,0
11,Climate geoengineering research should be pursued as a potential solution.,"[4, 4, 3, 4, 3]",3.6,0.24,0
12,College athletes should be paid salaries,"[4, 4, 4, 4, 5]",4.2,0.16,0
13,College athletes should not be paid salaries,"[1, 2, 2, 2, 2]",1.8,0.16,0
14,Corporations should be required to disclose their climate impacts,"[4, 4, 4, 4, 4]",4.0,0.0,0
15,Corporations should not be required to disclose their climate impacts,"[1, 3, 2, 2, 2]",2.0,0.4,0
16,Cultured/lab-grown meats should be allowed to be sold,"[3, 4, 4, 4, 4]",3.8,0.16,0
17,DNA carries genetic information in living organisms.,"[4, 5, 4, 4, 4]",4.2,0.16,0
18,Dogs are mammals.,"[4, 5, 5, 5, 5]",4.8,0.16,0
19,Drug importation jeopardizes safety controls and the domestic pharma industry.,"[2, 2, 1, 2, 2]",1.8,0.16,0
20,Emotional companion AI poses risks of attachment and should be limited,"[1, 2, 2, 3, 2]",2.0,0.4,0
